Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_3034_1x20mm",47.000000,-107.000000,180.000000,bottom
"U2","RFM69CW-915MHZ","RFM69CW-minimalpads",47.000000,-56.300000,270.000000,bottom
"C1","1uF","C_0402_1005Metric",42.000000,-98.000000,180.000000,top
"C2",".1uF","C_0402_1005Metric",41.600000,-51.200000,0.000000,top
"C3","1uF","C_0402_1005Metric",55.000000,-69.200000,180.000000,top
"C4",".1uF","C_0402_1005Metric",54.000000,-100.000000,0.000000,top
"C5",".1uF","C_0402_1005Metric",55.000000,-67.800000,180.000000,top
"C8","1pF","C_0402_1005Metric",41.000000,-45.200000,270.000000,top
"C9","1uF","C_0402_1005Metric",53.000000,-104.800000,0.000000,top
"C10","1uF","C_0402_1005Metric",52.800000,-82.600000,0.000000,top
"C11","1uF","C_0402_1005Metric",53.600000,-64.600000,0.000000,top
"C12","1uF","C_0402_1005Metric",53.000000,-52.600000,0.000000,top
"D1","LED","LED_0603_1608Metric",35.800000,-79.800000,0.000000,top
"L1","10nH","L_0402_1005Metric",41.900000,-43.600000,0.000000,top
"R1","DNP","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.800000,-80.200000,270.000000,top
"R2","15k","R_0402_1005Metric",50.200000,-76.800000,90.000000,top
"R3","1k","R_0402_1005Metric",53.000000,-106.200000,180.000000,top
"R4","1k","R_0402_1005Metric",52.800000,-81.200000,180.000000,top
"R5","1k","R_0402_1005Metric",53.600000,-63.200000,180.000000,top
"R6","1k","R_0402_1005Metric",53.090000,-51.200000,180.000000,top
"R7","1k","R_0402_1005Metric",35.400000,-81.600000,0.000000,top
"SW1","SW_Push","SW_TACTILE_5.1MM_TS-1187A-C-D-B",47.000000,-104.000000,180.000000,top
"SW2","SW_Push","SW_TACTILE_5.1MM_TS-1187A-C-D-B",47.000000,-82.000000,0.000000,top
"SW3","SW_Push","SW_TACTILE_5.1MM_TS-1187A-C-D-B",47.000000,-66.000000,0.000000,top
"SW4","SW_Push","SW_TACTILE_5.1MM_TS-1187A-C-D-B",47.000000,-51.000000,0.000000,top
"U1","STM32F030F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",54.800000,-74.000000,90.000000,top
